Название,Жанр,Выберите поджанр:,Какая история ближе?,Временной период:,Рейтинг
Гладиатор,Исторический,Военный,Эпические саги,Современное кино (2000–2020),8.5
Храброе сердце,Исторический,Военный,Военные события,Классика (до 2000 года),8.3
Броненосец «Потемкин»,Исторический,Военный,Военные события,Классика (до 2000 года),8.3
Троя,Исторический,Военный,Эпические саги,Современное кино (2000–2020),7.6  
Иван Грозный,Исторический,Драма,Эпические саги,Классика (до 2000 года),7.6
Она носила желтую ленту,Исторический,Военный,Военные события,Классика (до 2000 года),7.4  
Александр Невский,Исторический,Боевик (Экшен),Военные события,Классика (до 2000 года),7.9
Царство небесное,Исторический,Военный,Военные события,Современное кино (2000–2020),7.7
Патриот,Исторический,Военный,Военные события,Современное кино (2000–2020),8.1
Последняя дуэль,Исторический,Драма,Культурные драмы,Новинки (2020–2025),6.9
Петр Первый,Исторический,Биографический,Другое,Классика (до 2000 года),7.6
Потомок Чингисхана,Исторический,Драма,Культурные драмы,Классика (до 2000 года),6.8
Великий,Исторический,Биографический,Культурные драмы,Новинки (2020–2025),7.2
Страсти Христовы,Исторический,Биографический,Культурные драмы,Современное кино (2000–2020),7.7
