
Король Лев,Семейный,Приключения,Межпоколенческие драмы,Классика (до 2000 года),8.8
Мой мир SHINee,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Ну, погоди!,Семейный,Комедия,Истории с животными,Классика (до 2000 года),8.9
Трое из Простоквашино,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.5
Тайна Коко,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.1
Хатико: самый верный друг,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.5
Кот в сапогах 2: Последнее желание,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.8
BTS: Love Yourself Tour in Seoul,Семейный,Неважно,Семейные комедии,Современное кино (2000–2020),8.3
Как приручить дракона,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.1
Душа,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),7.8
Наконец в безопасности,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),6.8
Корпорация Монстров,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),8.1
Шрэк,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),8.1
Рататуй,Семейный,Комедия,Семейная,Современное кино (2000–2020),8.1  
Рапунцель: Запутанная История,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Ежик в тумане,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.5
Свадьба,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),6.8
Шаг к мечте: Раз и навсегда,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.9
Вверх,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.2
История игрушек: Большой побег,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.0
Мышонок Пик,Семейный,Приключения,Истории с животными,Новинки (2020–2025),5.8
Мой сосед Тоторо,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),8.3
Ледниковый период,Семейный,Приключения,Семейная,Современное кино (2000–2020),7.6  
Волк и теленок,Семейный,Комедия,Истории с животными,Новинки (2020–2025),7.5
Кунг-Фу Панда,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Я купил папу,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),6.9
Элементарно,Семейный,Приключения,Семейные комедии,Новинки (2020–2025),7.8
Зверопой 2,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.3
Головоломка,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Ральф,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Собачья жизнь 2,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.4
