
Оппенгеймер,Биографический,Драма,Ученые и изобретатели,Новинки (2020–2025),7.9
Suga: Road to D-Day,Биографический,Драма,Творческие гении,Новинки (2020–2025),8.1
FORD против FERRARI,Биографический,Драма,Ученые и изобретатели,Современное кино (2000–2020),7.9
Игры разума,Биографический,Драма,Ученые и изобретатели,Современное кино (2000–2020),8.3
Богемская рапсодия,Биографический,Музыка,Творческие гении,Современное кино (2000–2020),7.8
В погоне за счастьем,Биографический,Драма,Исторические личности,Современное кино (2000–2020),8.2
Дурная слава,Биографический,Криминал,Творческие гении,Современное кино (2000–2020),7.4
BTS: Bring The Soul. The movie,Биографический,Неважно,Творческие гении,Современное кино (2000–2020),8.3
Леди Гамильтон,Биографический,Драма,Исторические личности,Классика (до 2000 года),7.3
Страсти Жанны Д'Арк,Биографический,Драма,Исторические личности,Классика (до 2000 года),7.8
Легенда №17,Биографический,Драма,Спортивные легенды,Современное кино (2000–2020),7.8
