Название,Жанр,Выберите поджанр:,Какие темы важны?,Временной период:,Рейтинг
Король Лев,Семейный,Приключения,Межпоколенческие драмы,Классика (до 2000 года),8.775
Мой мир SHINee,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),8.776
Ну, погоди!,Семейный,Комедия,Истории с животными,Классика (до 2000 года),8.718
Трое из Простоквашино,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.798
Тайна Коко,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.723
Хатико: самый верный друг,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.375
Кот в сапогах 2: Последнее желание,Семейный,Приключения,Истории с животными,Новинки (2020–2025),8.092
BTS: Love Yourself Tour in Seoul,Семейный,Неважно,Семейные комедии,Современное кино (2000–2020),8.183
Как приручить дракона,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.24
Душа,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),8.359
Наконец в безопасности,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.967
Корпорация Монстров,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),8.131
Шрэк,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),8.191
Рататуй,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),8.049
Рапунцель: Запутанная История,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.961
Ежик в тумане,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.368
Свадьба,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.173
Шаг к мечте: Раз и нсегда,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.918
Вверх,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.04
История игрушек: Большой побег,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.854
Мышонок Пик,Семейный,Приключения,Истории с животными,Новинки (2020–2025),8.358
Мой сосед Тоторо,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),8.249
