Название,Жанр,Выберите поджанр:,Какой мир тебя манит?,Временной период:,Рейтинг
Унесенные призраками,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),8.7
Властелин Колец: Две крепости,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.4
Властелин Колец: Возвращение Короля,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.6
Ходячий замок,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),8.7
Твое имя,Фэнтези,Драма,Эпическое,Современное кино (2000–2020),8.5
Истребитель демонов: Поезд «Бесконечный»,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Гарри Поттер и Дары смерти. Часть вторая,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Принцесса Мононоке,Фэнтези,Драма,Мифологическое,Классика (до 2000 года),8.7
Обыкновенное чудо,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),8.4
Судзумэ, закрывающая двери,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),7.8
Красавица и чудовище,Фэнтези,Семейный,Мифологическое,Современное кино (2000–2020),7.3
Хоббит: Нежданное путешествие,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.9
Гарри Поттер и узник Азкабана,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Аладдин,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.2  
Мальчик и птица,Фэнтези,Драма,Мифологическое,Новинки (2020–2025),7.8
Гарри Поттер и кубок огня,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Гарри Поттер и философский камень,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Как приручить дракона 3,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Небесный замок Лапута,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),8.1
Хеллбой: Герой из пекла,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),5.9  
Гарри Поттер и Дары смерти. Часть первая,Фэнтези,Приключения,Темное,Современное кино (2000–2020),7.8
Хоббит: Пустошь Смауга,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Доктор Стрэндж,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),7.8
Кошмар перед Рождеством,Фэнтези,Ужасы,Темное,Классика (до 2000 года),8.1
Гарри Поттер и Тайная Комната,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8  
Лабиринт Фавна,Фэнтези,Триллер,Мифологическое,Современное кино (2000–2020),7.9  
Как приручить дракона 2,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8  
Холодное сердце,Фэнтези,Семейный,Эпическое,Современное кино (2000–2020),7.8
Ведьмина служба доставки,Фэнтези,Приключения,Городское,Классика (до 2000 года),8.1
Ее заветное желание,Фэнтези,Драма,Мифологическое,Новинки (2020–2025),6.5
Аленький цветочек,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),7.6
Навсикая из долины Ветров,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),8.1
Волшебник страны Оз,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),7.8
Райя и последний дракон,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),7.1
Потерянный горизонт,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),7.8  
Константин: повелитель тьмы,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),7.3
Тор,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.0
Сказки Гофмана,Фэнтези,Драма,Эпическое,Классика (до 2000 года),7.4
Гарри Поттер и Орден Феникса,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Василиса прекрасная,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),6.6
Звездная пыль,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.3
Эдвард руки-ножницы,Фэнтези,Драма,Темное,Классика (до 2000 года),8.1
Исполнение желаний,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),7.5  
Хоббит: Битва Пяти Воинств,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.5
Вперёд,Фэнтези,Приключения,Городское,Новинки (2020–2025),7.0
Подземелья и драконы: Честь среди воров,Фэнтези,Приключения,Эпическое,Новинки (2020–2025),6.9
Труп невесты,Фэнтези,Мелодрама,Темное,Современное кино (2000–2020),7.8
Коралина в стране кошмаров,Фэнтези,Приключения,Темное,Современное кино (2000–2020),7.9
В некотором царстве…,Фэнтези,Семейный,Эпическое,Новинки (2020–2025),6.5
Гарри Поттер и Принц-Полукровка,Фэнтези,Драма,Эпическое,Современное кино (2000–2020),7.8
Хеллбой 2: Золотая армия,Фэнтези,Боевик (Экшен),Мифологическое,Современное кино (2000–2020),6.7
Волшебный магазин,Фэнтези,Семейный,Эпическое,Новинки (2020–2025),7.6
Руслан и Людмила. Больше, чем сказка,Фэнтези,Семейный,Мифологическое,Новинки (2020–2025),6.9
Кубо. Легенда о самурае,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.6
Марья-искусница,Фэнтези,Приключения,Мифологическое,Классика (до 2000 года),7.3
Хранители снов,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.3
Меч короля,Фэнтези,Приключения,Эпическое,Новинки (2020–2025),7.5
Фантастические твари и где они обитают,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),6.8
Добрыня Никитич и Змей Горыныч,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.4
Двенадцать месяцев,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),7.9
Малефисента: Владычица тьмы,Фэнтези,Семейный,Темное,Современное кино (2000–2020),6.6
Цветик-Семицветик,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),8.1
Маленький принц,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.8
Бесконечная история,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),7.8
Другой мир,Фэнтези,Боевик (Экшен),Темное,Современное кино (2000–2020),6.7
Атлантида: затерянный мир,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.2
