Название,Жанр,Выберите поджанр:,Какой аспект войны важен?,Временной период:,Рейтинг
А зори здесь тихие,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.568
По соображениям совести,Военный,Биографический,Личные драмы солдат,Современное кино (2000–2020),8.234
Долгая дорога домой,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),0
На западном фронте без перемен,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.601
Спасти рядового Райана,Военный,Драма,Боевые действия,Классика (до 2000 года),8.186
Офицеры,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.536
Ревущие двадцатые или судьба солдата в Америке,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.906
Бесславные ублюдки,Военный,Исторический,Партизанские движения,Современное кино (2000–2020),8.016
1917,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),7.93
Живые и мертвые,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.508
Брестская крепость,Военный,Исторический,Исторические реконструкции,Современное кино (2000–2020),8.115
Дюнкерк,Военный,Исторический,Боевые действия,Современное кино (2000–2020),7.273
На плечо!,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.814
Герои Шипки,Военный,Исторический,Боевые действия,Классика (до 2000 года),7.663
Праведник,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.514
Цветы войны,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),7.933
Стальная хватка,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.385
Снимки нашей планеты и письмена войны,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),0
Жизнь Бенгальского улана,Военный,Исторический,Исторические реконструкции,Современное кино (2000–2020),6.632
Чапаев,Военный,Исторический,Боевые действия,Классика (до 2000 года),7.811
Блокада: Ленинградский метроном. Операция «Искра»,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),7.753
9 рота,Военный,Драма,Боевые действия,Современное кино (2000–2020),6.812
Т-34,Военный,Исторический,Боевые действия,Современное кино (2000–2020),6.836
