Название,Жанр,Выберите поджанр:,Какая история ближе?,Временной период:,Рейтинг
Гладиатор,Исторический,Военный,Эпические саги,Современное кино (2000–2020),8.589
Храброе сердце,Исторический,Военный,Военные события,Классика (до 2000 года),8.292
Броненосец «Потемкин»,Исторический,Военный,Военные события,Классика (до 2000 года),7.905
Троя,Исторический,Военный,Эпические саги,Современное кино (2000–2020),8.055
Иван Грозный,Исторический,Драма,Эпические саги,Классика (до 2000 года),8.058
Она носила желтую ленту,Исторический,Военный,Военные события,Классика (до 2000 года),6.649
Александр Невский,Исторический,Боевик (Экшен),Военные события,Классика (до 2000 года),8.08
Царство небесное,Исторический,Военный,Военные события,Современное кино (2000–2020),7.656
Патриот,Исторический,Военный,Военные события,Современное кино (2000–2020),7.931
Последняя дуэль,Исторический,Драма,Культурные драмы,Новинки (2020–2025),7.367
Петр Первый,Исторический,Биографический,Другое,Классика (до 2000 года),7.352
Потомок Чингисхана,Исторический,Драма,Культурные драмы,Классика (до 2000 года),6.783
Великий,Исторический,Биографический,Культурные драмы,Новинки (2020–2025),7.545
Страсти Христовы,Исторический,Биографический,Культурные драмы,Современное кино (2000–2020),7.915
